"dataelement","period","orgunit","categoryoptioncombo","value","storedby","timestamp","comment","followup"
"cI3OTahNbFi","2011","X7R69upBJ46","P3p47Zcxn1C",4680,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","JuXMy0Z3zMV","P3p47Zcxn1C",2465,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","gLfrYad45uU","P3p47Zcxn1C",5786,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","orSrC5SdxlA","P3p47Zcxn1C",2499,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","pkIzj6IgFGl","P3p47Zcxn1C",5596,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","OwSGuuYygCr","P3p47Zcxn1C",8071,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","nVOPvJmLFVd","P3p47Zcxn1C",3798,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","qBuG0CjjsyL","P3p47Zcxn1C",3582,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","v0fe024ldMI","P3p47Zcxn1C",4444,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Spoku6xzOtF","P3p47Zcxn1C",3118,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","BMklPNS3VMl","P3p47Zcxn1C",3466,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","tpcJMOx0uCO","P3p47Zcxn1C",29028,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","H4V4Fhig0C0","P3p47Zcxn1C",3824,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","y1DJLc58WLE","P3p47Zcxn1C",5424,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","q21xNuMtp7r","P3p47Zcxn1C",3804,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","Sdk6kBfkpS3","P3p47Zcxn1C",3880,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","KItct9Nz9Zq","P3p47Zcxn1C",8974,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","RaXGnYU9hp2","P3p47Zcxn1C",3666,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","lEs0trJ7Z6B","P3p47Zcxn1C",5463,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","DeT8cTw5D6Q","P3p47Zcxn1C",2210,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","k0IxtgZmH3Z","P3p47Zcxn1C",5076,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","wYoiDHcb9KQ","P3p47Zcxn1C",4093,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","dYG3NoxvzSM","P3p47Zcxn1C",2420,"admin","2013-01-30T07:27:01+0000","Import from R","false"
